row_type,graph,view,measurement_valid,T1_single_no_l3_median_solve_ms,T2_dual_l3_median_solve_ms,solve_speedup_T1_over_T2,target,target_met,source_sha,input_sha256
case,NY,G,True,6.4820349999999998,7.2509914999999996,0.89395153752421308,1.2,False,9dd69fa02777853537e8068e90996b0ee7cc4186,a83c8a58e4c8f2b471560101be238686faf6e72313605b0e25609a086bec481c
case,NY,G+,True,6.0012980000000002,6.5845435000000005,0.911422029484656,1.2,False,9dd69fa02777853537e8068e90996b0ee7cc4186,a83c8a58e4c8f2b471560101be238686faf6e72313605b0e25609a086bec481c
case,BAY,G,True,5.0066155000000006,5.7178005000000001,0.87561913011830339,1.2,False,9dd69fa02777853537e8068e90996b0ee7cc4186,a83c8a58e4c8f2b471560101be238686faf6e72313605b0e25609a086bec481c
case,BAY,G+,True,4.1111360000000001,4.8006820000000001,0.85636499147412803,1.2,False,9dd69fa02777853537e8068e90996b0ee7cc4186,a83c8a58e4c8f2b471560101be238686faf6e72313605b0e25609a086bec481c
case,COL,G,True,8.4261215000000007,10.042104500000001,0.83907924877698692,1.2,False,9dd69fa02777853537e8068e90996b0ee7cc4186,a83c8a58e4c8f2b471560101be238686faf6e72313605b0e25609a086bec481c
case,COL,G+,True,5.8036630000000002,7.0449734999999993,0.82380196320113919,1.2,False,9dd69fa02777853537e8068e90996b0ee7cc4186,a83c8a58e4c8f2b471560101be238686faf6e72313605b0e25609a086bec481c
case,FLA,G,True,20.637974999999997,21.9721555,0.93927857919993318,1.2,False,9dd69fa02777853537e8068e90996b0ee7cc4186,a83c8a58e4c8f2b471560101be238686faf6e72313605b0e25609a086bec481c
case,FLA,G+,True,17.326173500000003,18.116093999999997,0.9563967541789089,1.2,False,9dd69fa02777853537e8068e90996b0ee7cc4186,a83c8a58e4c8f2b471560101be238686faf6e72313605b0e25609a086bec481c
case,CAL,G,True,24.346727999999999,26.923645,0.90428795952405394,1.2,False,9dd69fa02777853537e8068e90996b0ee7cc4186,a83c8a58e4c8f2b471560101be238686faf6e72313605b0e25609a086bec481c
case,CAL,G+,True,16.982048499999998,18.310323,0.92745761502951085,1.2,False,9dd69fa02777853537e8068e90996b0ee7cc4186,a83c8a58e4c8f2b471560101be238686faf6e72313605b0e25609a086bec481c
case,E,G,True,28.379230499999998,33.358881499999995,0.85072488116845291,1.2,False,9dd69fa02777853537e8068e90996b0ee7cc4186,a83c8a58e4c8f2b471560101be238686faf6e72313605b0e25609a086bec481c
case,E,G+,True,22.781178000000001,24.7179085,0.92164666763775749,1.2,False,9dd69fa02777853537e8068e90996b0ee7cc4186,a83c8a58e4c8f2b471560101be238686faf6e72313605b0e25609a086bec481c
case,W,G,True,38.1140805,44.991662500000004,0.84713652223898139,1.2,False,9dd69fa02777853537e8068e90996b0ee7cc4186,a83c8a58e4c8f2b471560101be238686faf6e72313605b0e25609a086bec481c
case,W,G+,True,29.447520000000001,30.033317,0.98049509483085073,1.2,False,9dd69fa02777853537e8068e90996b0ee7cc4186,a83c8a58e4c8f2b471560101be238686faf6e72313605b0e25609a086bec481c
case,USA,G,True,94.579300500000002,98.185392500000006,0.96327262224877286,1.2,False,9dd69fa02777853537e8068e90996b0ee7cc4186,a83c8a58e4c8f2b471560101be238686faf6e72313605b0e25609a086bec481c
case,USA,G+,True,74.411929000000001,68.62012,1.084403947413674,1.2,False,9dd69fa02777853537e8068e90996b0ee7cc4186,a83c8a58e4c8f2b471560101be238686faf6e72313605b0e25609a086bec481c
geomean,ALL_8,G,True,,,0.88818439840335917,1.2,False,9dd69fa02777853537e8068e90996b0ee7cc4186,a83c8a58e4c8f2b471560101be238686faf6e72313605b0e25609a086bec481c
geomean,ALL_8,G+,True,,,0.92985835630381664,1.2,False,9dd69fa02777853537e8068e90996b0ee7cc4186,a83c8a58e4c8f2b471560101be238686faf6e72313605b0e25609a086bec481c
