evidence_id,job,category,graph,view,source_name,outer_workflow,inner_sampling,evidence_classification,measurement_valid,performance_target,performance_target_met,classification,samples_per_role,formal_samples_per_role,T1_solve_median_ms,T1_solve_iqr_ms,T1_solve_mad_ms,T2_solve_median_ms,T2_solve_iqr_ms,T2_solve_mad_ms,solve_speedup_T1_over_T2,T1_query_wall_median_ms,T1_query_wall_iqr_ms,T1_query_wall_mad_ms,T2_query_wall_median_ms,T2_query_wall_iqr_ms,T2_query_wall_mad_ms,query_wall_speedup_T1_over_T2,samples_sha256,recorded_summary_sha256,logical_source,layout_source
JobA_primary,JobA,primary,USA,G+,primary,formal JobA,formal,formal_primary,True,1.2,False,VALID_BELOW_TARGET,10,10,73.3605045,0.5703574999999859,0.3674960000000027,64.67173550000001,1.050510250000002,0.605868000000001,1.1343518761762623,153.287168,0.25904599999995526,0.1486369999999937,73.32619249999999,1.242085750000001,0.7243534999999923,2.0904831244306052,33f5d43c08be893c70c3ca46688181910e37bac63d299783045ea053c575539b,bc79feee047e7f136c051c6059db39d1eedc3dae3ca4f1bd1d3b3477c0801416,0,11973673
JobB_primary,JobB,primary,USA,G+,primary,formal JobB,formal,formal_primary_confirmation,True,1.2,False,VALID_BELOW_TARGET,10,10,73.34055649999999,0.6623132499999826,0.368734499999988,64.5799375,1.0865964999999989,0.5707029999999982,1.1356554270434218,153.7047205,0.7907642499999952,0.46377749999999196,73.12157,1.66630099999999,0.6447420000000008,2.1020434941426998,6d6421341673c27c03dd981d7927cd659d1873b1503cd2df2e0936702c52508a,7e55d43e5a4df23056afd2249553fa2e35455fe7b939496e87d9da713ba98ac8,0,11973673
JobA_USA_fixed_additional_source_1,JobA,usa_source,USA,G+,fixed_additional_source_1,formal JobA,exploratory,full_sample_clean_sha_extension_regression,True,1.2,False,VALID_BELOW_TARGET,10,,73.3442,1.0800947500000007,0.5545419999999979,99.8804085,11.708948750000019,1.3918120000000016,0.7343201845234744,153.15351099999998,1.1414237500000013,0.5378805,109.56820350000001,12.459244749999982,1.590592000000008,1.3977915682445223,f6a19c981ad6bbb210727a91c1ade08db8134aa7bbb2711793c7449eb9a676e6,46ef7b746a8b76cde4931784d4dc18e9c95f536488cf59ca64f4b7361590f79b,7982448,18266241
JobA_USA_fixed_additional_source_2,JobA,usa_source,USA,G+,fixed_additional_source_2,formal JobA,exploratory,full_sample_clean_sha_extension_regression,True,1.2,False,VALID_BELOW_TARGET,10,,60.363889,0.46264099999999786,0.22837000000000174,55.3409575,0.6828220000000087,0.2642110000000031,1.0907633645478576,139.9778705,0.398321750000008,0.1670155000000051,63.6734115,0.624735749999985,0.36288399999999754,2.19837240069978,26bfd282e44bf36855154f327839589f39209fb959c88051259606f52ab7c977,4f3ddb639b92817da9e3f36501815392ef8a09cd7384b183cb8ae5c4b87687f4,15964897,6146689
JobA_NY_G,JobA,eight_graph,NY,G,,formal JobA,exploratory,full_sample_clean_sha_extension_regression,True,1.2,False,VALID_BELOW_TARGET,10,,6.482035,0.5352172499999996,0.24347299999999983,7.2509915,0.256335,0.13521249999999974,0.8939515375242131,8.930982499999999,0.4620379999999997,0.22834799999999955,10.103594999999999,0.47974125,0.2604985000000015,0.883941062562385,bcaf030ba953f4ef4caf7532d3f370a1e528a8a399603751db4212caa777a72a,5428ee8c61ead1f6d2173c81d95a3c1a0267f29caa191aa2993e730e7cf3ae24,132173,132173
JobA_NY_G_plus,JobA,eight_graph,NY,G+,,formal JobA,exploratory,full_sample_clean_sha_extension_regression,True,1.2,False,VALID_BELOW_TARGET,10,,6.001298,0.4211299999999998,0.22639049999999994,6.5845435000000005,0.17653349999999968,0.0630465000000009,0.911422029484656,8.4739225,0.41877299999999984,0.2250369999999995,9.51894,0.21096724999999772,0.11138699999999968,0.8902170304676781,64c2b5a7fe8390438a8bab59ee042a58e3a9140a3beef9df1899b0574f9a75e6,233fe77cff2d9a3512b02bed989b6427b4603a0f6d02483f2902ec57c79decdb,132173,132173
JobA_BAY_G,JobA,eight_graph,BAY,G,,formal JobA,exploratory,full_sample_clean_sha_extension_regression,True,1.2,False,VALID_BELOW_TARGET,10,,5.0066155000000006,0.17477050000000016,0.09145850000000033,5.7178005,0.08319250000000089,0.05896950000000034,0.8756191301183034,7.586945500000001,0.17455599999999993,0.09244300000000072,8.564779000000001,0.4257132499999994,0.22901599999999966,0.8858308544797244,ccecccbd402acf9fe563b750ddc8da0e42d612692453e1f4ca5d6d8300596d80,57e8d3029d39d7f431fd7c7f352f2ea139ee7bad68f0604a48d5c4948c7f8ece,160635,160635
JobA_BAY_G_plus,JobA,eight_graph,BAY,G+,,formal JobA,exploratory,full_sample_clean_sha_extension_regression,True,1.2,False,VALID_BELOW_TARGET,10,,4.111136,0.9836047499999996,0.08151550000000007,4.800682,0.1484399999999999,0.06276300000000035,0.856364991474128,6.6798765,0.9243897499999996,0.09643599999999974,7.6671154999999995,0.1963449999999991,0.10595399999999966,0.8712372338723735,91e2c544b5f3116673079b6678836fe2f936a4b70a1cd8d488222d66d917a168,398570dc83d5ff242fbb18ea6de1d11132d96982f834e196458f375f100d4d89,160635,160635
JobA_COL_G,JobA,eight_graph,COL,G,,formal JobA,exploratory,full_sample_clean_sha_extension_regression,True,1.2,False,VALID_BELOW_TARGET,10,,8.4261215,0.24327625000000097,0.08954450000000058,10.0421045,0.14869975000000046,0.07913000000000014,0.8390792487769869,10.9869535,0.24222500000000124,0.0898140000000005,13.0463825,0.19175824999999946,0.12905799999999967,0.8421455909329656,a60b7a84fec2a15ba48062f04b0761acd81b8ecd7e88246f8d8462842ca94933,2272868e89f459f40344ec324842fcece014165432ff48db6fb7bd605a1c2da8,217833,217833
JobA_COL_G_plus,JobA,eight_graph,COL,G+,,formal JobA,exploratory,full_sample_clean_sha_extension_regression,True,1.2,False,VALID_BELOW_TARGET,10,,5.803663,0.4669237499999994,0.14954300000000043,7.044973499999999,0.3888024999999997,0.22363199999999983,0.8238019632011392,8.3579545,0.4714987499999985,0.1514924999999998,9.8796155,0.4323265000000003,0.2575440000000002,0.8459797347376525,dcc70685eb1cd9f3f3475d61184b9d996470dedeb0e8d17cfe72011d1f8d3c63,0d4f9be30c01a6d77a08cb47a0f3f947230c2b1a737c8313abf53097b1a77db2,217833,217833
