case_id,graph,view,measurement_valid,T1_single_no_l3_median_solve_ms,T2_dual_l3_median_solve_ms,speedup_T1_over_T2,T1_single_no_l3_median_query_wall_ms,T2_dual_l3_median_query_wall_ms,query_wall_speedup_T1_over_T2,target,target_met,error_count,case_output
NY_G,NY,G,True,6.482035,7.2509915,0.8939515375242131,8.930982499999999,10.103594999999999,0.883941062562385,1.2,False,0,/mnt/709/data3/home/Dingzhong/l3_30h_formal/9dd69fa02777853537e8068e90996b0ee7cc4186/jobA/05_eight_graph/cases/NY/G
NY_G_plus,NY,G+,True,6.001298,6.5845435000000005,0.911422029484656,8.4739225,9.51894,0.8902170304676781,1.2,False,0,/mnt/709/data3/home/Dingzhong/l3_30h_formal/9dd69fa02777853537e8068e90996b0ee7cc4186/jobA/05_eight_graph/cases/NY/G_plus
BAY_G,BAY,G,True,5.0066155000000006,5.7178005,0.8756191301183034,7.586945500000001,8.564779000000001,0.8858308544797244,1.2,False,0,/mnt/709/data3/home/Dingzhong/l3_30h_formal/9dd69fa02777853537e8068e90996b0ee7cc4186/jobA/05_eight_graph/cases/BAY/G
BAY_G_plus,BAY,G+,True,4.111136,4.800682,0.856364991474128,6.6798765,7.6671154999999995,0.8712372338723735,1.2,False,0,/mnt/709/data3/home/Dingzhong/l3_30h_formal/9dd69fa02777853537e8068e90996b0ee7cc4186/jobA/05_eight_graph/cases/BAY/G_plus
COL_G,COL,G,True,8.4261215,10.0421045,0.8390792487769869,10.9869535,13.0463825,0.8421455909329656,1.2,False,0,/mnt/709/data3/home/Dingzhong/l3_30h_formal/9dd69fa02777853537e8068e90996b0ee7cc4186/jobA/05_eight_graph/cases/COL/G
COL_G_plus,COL,G+,True,5.803663,7.044973499999999,0.8238019632011392,8.3579545,9.8796155,0.8459797347376525,1.2,False,0,/mnt/709/data3/home/Dingzhong/l3_30h_formal/9dd69fa02777853537e8068e90996b0ee7cc4186/jobA/05_eight_graph/cases/COL/G_plus
FLA_G,FLA,G,True,20.637974999999997,21.9721555,0.9392785791999332,24.5621715,25.250264,0.9727490968015226,1.2,False,0,/mnt/709/data3/home/Dingzhong/l3_30h_formal/9dd69fa02777853537e8068e90996b0ee7cc4186/jobA/05_eight_graph/cases/FLA/G
FLA_G_plus,FLA,G+,True,17.326173500000003,18.116093999999997,0.9563967541789089,21.460463500000003,21.3212265,1.006530440450975,1.2,False,0,/mnt/709/data3/home/Dingzhong/l3_30h_formal/9dd69fa02777853537e8068e90996b0ee7cc4186/jobA/05_eight_graph/cases/FLA/G_plus
CAL_G,CAL,G,True,24.346728,26.923645,0.9042879595240539,29.372946499999998,30.8085965,0.9534009931286548,1.2,False,0,/mnt/709/data3/home/Dingzhong/l3_30h_formal/9dd69fa02777853537e8068e90996b0ee7cc4186/jobA/05_eight_graph/cases/CAL/G
CAL_G_plus,CAL,G+,True,16.982048499999998,18.310323,0.9274576150295109,22.4964015,21.640262999999997,1.0395622964471367,1.2,False,0,/mnt/709/data3/home/Dingzhong/l3_30h_formal/9dd69fa02777853537e8068e90996b0ee7cc4186/jobA/05_eight_graph/cases/CAL/G_plus
E_G,E,G,True,28.3792305,33.358881499999995,0.8507248811684529,36.006579,37.486250999999996,0.9605276078421394,1.2,False,0,/mnt/709/data3/home/Dingzhong/l3_30h_formal/9dd69fa02777853537e8068e90996b0ee7cc4186/jobA/05_eight_graph/cases/E/G
E_G_plus,E,G+,True,22.781178,24.7179085,0.9216466676377575,30.12469,28.8900425,1.0427360915097303,1.2,False,0,/mnt/709/data3/home/Dingzhong/l3_30h_formal/9dd69fa02777853537e8068e90996b0ee7cc4186/jobA/05_eight_graph/cases/E/G_plus
W_G,W,G,True,38.1140805,44.991662500000004,0.8471365222389814,50.44314,49.468713,1.0196978441707185,1.2,False,0,/mnt/709/data3/home/Dingzhong/l3_30h_formal/9dd69fa02777853537e8068e90996b0ee7cc4186/jobA/05_eight_graph/cases/W/G
W_G_plus,W,G+,True,29.44752,30.033317,0.9804950948308507,41.3218275,34.8038095,1.1872788666999226,1.2,False,0,/mnt/709/data3/home/Dingzhong/l3_30h_formal/9dd69fa02777853537e8068e90996b0ee7cc4186/jobA/05_eight_graph/cases/W/G_plus
USA_G,USA,G,True,94.5793005,98.1853925,0.9632726222487729,177.0330555,107.47370699999999,1.6472220084490061,1.2,False,0,/mnt/709/data3/home/Dingzhong/l3_30h_formal/9dd69fa02777853537e8068e90996b0ee7cc4186/jobA/05_eight_graph/cases/USA/G
USA_G_plus,USA,G+,True,74.411929,68.62012,1.084403947413674,154.19213100000002,77.440911,1.9910939709890554,1.2,False,0,/mnt/709/data3/home/Dingzhong/l3_30h_formal/9dd69fa02777853537e8068e90996b0ee7cc4186/jobA/05_eight_graph/cases/USA/G_plus
