SMALL_TEST primitives rc 0
SMALL_TEST dq_publication rc 0
SMALL_TEST capacity_full rc 0
SMALL_TEST capacity_overflow rc 0
RESET_TEST True
CAPACITY_TEST NY M1-original True
CAPACITY_TEST NY M1-shortcut True
CAPACITY_TEST NY M2-original True
CAPACITY_TEST NY M2-shortcut True
CAPACITY_TEST BAY M1-original True
CAPACITY_TEST BAY M1-shortcut True
CAPACITY_TEST BAY M2-original True
CAPACITY_TEST BAY M2-shortcut True
CAPACITY_TEST COL M1-original True
CAPACITY_TEST COL M1-shortcut True
CAPACITY_TEST COL M2-original True
CAPACITY_TEST COL M2-shortcut True
CAPACITY_TEST FLA M1-original True
CAPACITY_TEST FLA M1-shortcut True
CAPACITY_TEST FLA M2-original True
CAPACITY_TEST FLA M2-shortcut True
CAPACITY_TEST CAL M1-original True
CAPACITY_TEST CAL M1-shortcut True
CAPACITY_TEST CAL M2-original True
CAPACITY_TEST CAL M2-shortcut True
CAPACITY_TEST E M1-original True
CAPACITY_TEST E M1-shortcut True
CAPACITY_TEST E M2-original True
CAPACITY_TEST E M2-shortcut True
CAPACITY_TEST W M1-original True
CAPACITY_TEST W M1-shortcut True
CAPACITY_TEST W M2-original True
CAPACITY_TEST W M2-shortcut True
CAPACITY_TEST USA M1-original True
CAPACITY_TEST USA M1-shortcut True
CAPACITY_TEST USA M2-original True
CAPACITY_TEST USA M2-shortcut True
SUPPLEMENT_CHECKS_DONE problems=0
