graph,variant,gpu,bucket,capacity,writes,reads,no_wrap
NY,M1-original,0,0,16776704,836,836,1
NY,M1-original,0,1,16776704,95,95,1
NY,M1-original,0,2,16776704,3589,3589,1
NY,M1-original,0,3,16776704,173232,173232,1
NY,M1-original,0,4,16776704,87031,87031,1
NY,M1-original,0,5,16776704,49285,49285,1
NY,M1-original,0,6,16776704,21468,21468,1
NY,M1-original,0,7,16776704,3531,3531,1
NY,M1-original,0,8,16776704,0,0,1
NY,M1-original,0,9,16776704,0,0,1
NY,M1-original,0,10,16776704,33,33,1
NY,M1-original,0,11,16776704,0,0,1
NY,M1-original,0,12,16776704,0,0,1
NY,M1-original,0,13,16776704,0,0,1
NY,M1-original,0,14,16776704,33,33,1
NY,M1-original,0,15,16776704,286,286,1
NY,M1-shortcut,0,0,16776704,1083,1083,1
NY,M1-shortcut,0,1,16776704,21485,21485,1
NY,M1-shortcut,0,2,16776704,69669,69669,1
NY,M1-shortcut,0,3,16776704,246182,246182,1
NY,M1-shortcut,0,4,16776704,169427,169427,1
NY,M1-shortcut,0,5,16776704,69428,69428,1
NY,M1-shortcut,0,6,16776704,18728,18728,1
NY,M1-shortcut,0,7,16776704,1193,1193,1
NY,M1-shortcut,0,8,16776704,35,35,1
NY,M1-shortcut,0,9,16776704,0,0,1
NY,M1-shortcut,0,10,16776704,322,322,1
NY,M1-shortcut,0,11,16776704,108,108,1
NY,M1-shortcut,0,12,16776704,540,540,1
NY,M1-shortcut,0,13,16776704,67,67,1
NY,M1-shortcut,0,14,16776704,40,40,1
NY,M1-shortcut,0,15,16776704,0,0,1
NY,M2-original,0,0,16776704,818,818,1
NY,M2-original,0,1,16776704,6299,6299,1
NY,M2-original,0,2,16776704,346,346,1
NY,M2-original,0,3,16776704,67076,67076,1
NY,M2-original,0,4,16776704,78039,78039,1
NY,M2-original,0,5,16776704,43988,43988,1
NY,M2-original,0,6,16776704,23874,23874,1
NY,M2-original,0,7,16776704,1062,1062,1
NY,M2-original,0,8,16776704,0,0,1
NY,M2-original,0,9,16776704,0,0,1
NY,M2-original,0,10,16776704,0,0,1
NY,M2-original,0,11,16776704,0,0,1
NY,M2-original,0,12,16776704,0,0,1
NY,M2-original,0,13,16776704,0,0,1
NY,M2-original,0,14,16776704,0,0,1
NY,M2-original,0,15,16776704,0,0,1
NY,M2-original,1,0,16776704,0,0,1
NY,M2-original,1,1,16776704,0,0,1
NY,M2-original,1,2,16776704,31065,31065,1
NY,M2-original,1,3,16776704,39109,39109,1
NY,M2-original,1,4,16776704,3766,3766,1
NY,M2-original,1,5,16776704,0,0,1
NY,M2-original,1,6,16776704,0,0,1
NY,M2-original,1,7,16776704,0,0,1
NY,M2-original,1,8,16776704,33,33,1
NY,M2-original,1,9,16776704,0,0,1
NY,M2-original,1,10,16776704,0,0,1
NY,M2-original,1,11,16776704,0,0,1
NY,M2-original,1,12,16776704,0,0,1
NY,M2-original,1,13,16776704,34,34,1
NY,M2-original,1,14,16776704,0,0,1
NY,M2-original,1,15,16776704,0,0,1
NY,M2-shortcut,1,0,16776704,0,0,1
NY,M2-shortcut,1,1,16776704,514,514,1
NY,M2-shortcut,1,2,16776704,51058,51058,1
NY,M2-shortcut,1,3,16776704,84496,84496,1
NY,M2-shortcut,1,4,16776704,11724,11724,1
NY,M2-shortcut,1,5,16776704,25,25,1
NY,M2-shortcut,1,6,16776704,0,0,1
NY,M2-shortcut,1,7,16776704,0,0,1
NY,M2-shortcut,1,8,16776704,0,0,1
NY,M2-shortcut,1,9,16776704,0,0,1
NY,M2-shortcut,1,10,16776704,0,0,1
NY,M2-shortcut,1,11,16776704,0,0,1
NY,M2-shortcut,1,12,16776704,0,0,1
NY,M2-shortcut,1,13,16776704,0,0,1
NY,M2-shortcut,1,14,16776704,0,0,1
NY,M2-shortcut,1,15,16776704,0,0,1
NY,M2-shortcut,0,0,16776704,722,722,1
NY,M2-shortcut,0,1,16776704,13152,13152,1
NY,M2-shortcut,0,2,16776704,786,786,1
NY,M2-shortcut,0,3,16776704,104202,104202,1
NY,M2-shortcut,0,4,16776704,140020,140020,1
NY,M2-shortcut,0,5,16776704,82722,82722,1
NY,M2-shortcut,0,6,16776704,39911,39911,1
NY,M2-shortcut,0,7,16776704,5674,5674,1
NY,M2-shortcut,0,8,16776704,0,0,1
NY,M2-shortcut,0,9,16776704,34,34,1
NY,M2-shortcut,0,10,16776704,3233,3233,1
NY,M2-shortcut,0,11,16776704,0,0,1
NY,M2-shortcut,0,12,16776704,0,0,1
NY,M2-shortcut,0,13,16776704,1589,1589,1
NY,M2-shortcut,0,14,16776704,0,0,1
NY,M2-shortcut,0,15,16776704,37,37,1
BAY,M1-original,0,0,16776704,455,455,1
BAY,M1-original,0,1,16776704,10082,10082,1
BAY,M1-original,0,2,16776704,46758,46758,1
BAY,M1-original,0,3,16776704,60617,60617,1
BAY,M1-original,0,4,16776704,71882,71882,1
BAY,M1-original,0,5,16776704,32562,32562,1
BAY,M1-original,0,6,16776704,17454,17454,1
BAY,M1-original,0,7,16776704,17917,17917,1
BAY,M1-original,0,8,16776704,7124,7124,1
BAY,M1-original,0,9,16776704,2161,2161,1
BAY,M1-original,0,10,16776704,1760,1760,1
BAY,M1-original,0,11,16776704,39,39,1
BAY,M1-original,0,12,16776704,0,0,1
BAY,M1-original,0,13,16776704,0,0,1
BAY,M1-original,0,14,16776704,0,0,1
BAY,M1-original,0,15,16776704,0,0,1
BAY,M1-shortcut,0,0,16776704,2548,2548,1
BAY,M1-shortcut,0,1,16776704,15474,15474,1
BAY,M1-shortcut,0,2,16776704,61387,61387,1
BAY,M1-shortcut,0,3,16776704,69962,69962,1
BAY,M1-shortcut,0,4,16776704,76787,76787,1
BAY,M1-shortcut,0,5,16776704,40344,40344,1
BAY,M1-shortcut,0,6,16776704,22847,22847,1
BAY,M1-shortcut,0,7,16776704,17843,17843,1
BAY,M1-shortcut,0,8,16776704,7855,7855,1
BAY,M1-shortcut,0,9,16776704,3325,3325,1
BAY,M1-shortcut,0,10,16776704,1732,1732,1
BAY,M1-shortcut,0,11,16776704,88,88,1
BAY,M1-shortcut,0,12,16776704,0,0,1
BAY,M1-shortcut,0,13,16776704,0,0,1
BAY,M1-shortcut,0,14,16776704,0,0,1
